ISBN,Net $ USD
9781481445931,$1.00 
9781250079725,$0.95 
9780449810637,$1.00 
9780062245465,$1.00 
9781681194042,$0.35 
9781534400535,$0.85 
9781534400542,$1.00 
9781443444675,$0.50 
9780545667661,$1.00 
9780374298746,$1.00 
9781443427678,$1.00 
9780007479610,$1.00 
9780062382672,$0.85 
9781250070753,$0.50 
9780312518714,$1.00 
9781101948002,$0.50 
9781501144936,$0.50 
9781401686376,$1.00 
9781250047250,$0.50 
9781454919889,$1.00 
9781402737596,$0.35 
9781534400573,$0.85 
9781137279880,$1.00 
9781782351559,$1.00 
9781782351719,$1.00 
9780062357052,$0.85 
9781783935499,$1.00 
9781627108898,$0.35 
9780316126540,$1.00 
9781250083371,$0.50 
9780553534122,$1.00 
9780448462295,$1.00 
9781782355656,$0.75 
9781250088994,$0.50 
9780312649357,$0.50 
9781250104250,$0.35 
9780142427477,$1.00 
9780142400104,$1.00 
9781501106095,$0.50 
9781783930418,$1.00 
9781780653358,$0.50 
9780525428121,$1.00 
9780761141457,$0.50 
9781118477472,$0.50 
9781481458276,$1.00 
9780765383525,$0.50 
9781586106966,$0.75 
9781481429030,$0.50 
9781481429047,$0.50 
9780765334305,$0.50 
9781481435406,$1.00 
9780062426895,$0.50 
9781616204594,$0.50 
9780147516589,$1.00 
9780689319860,$0.50 
9781250068132,$1.00 
9780765376947,$0.35 
9781481450430,$1.00 
9781451677317,$0.50 
9781481448475,$1.00 
9780385743396,$0.35 
9780385743402,$0.35 
9781501124914,$0.50 
9780736432900,$1.00 
9780765380913,$0.50 
9780142427422,$0.35 
9781416934820,$1.00 
9780757302718,$1.00 
9781442450035,$1.00 
9781472911438,$0.50 
9780553535044,$0.50 
9788854406674,$1.00 
9781455562817,$0.50 
9781474860147,$1.00 
9781579655969,$1.00 
9781579657055,$0.35 
9780312520502,$1.00 
9781474854818,$1.00 
9781474854863,$1.00 
9781788432498,$1.00 
9780062567277,$0.35 
9781443438131,$0.50 
9781782357469,$0.85 
9781783935796,$0.85 
9781633751231,$0.35 
9781481404013,$0.50 
9781250055408,$0.50 
9781443405843,$0.50 
9780525428435,$1.00 
9781785986611,$1.00 
9781476753041,$1.00 
9781476771946,$0.50 
9780062307705,$1.00 
9781440592898,$0.50 
9781476760131,$0.50 
9780765389756,$0.50 
9780385682749,$0.50 
9781481439916,$0.75 
9781848105416,$1.00 
9781501137044,$0.50 
9780316985598,$1.00 
9781250074058,$0.35 
9780765377852,$0.50 
9780399257490,$1.00 
9780765393296,$0.50 
9780425281116,$1.00 
9780006481676,$1.00 
9781443432566,$0.50 
9780399171833,$1.00 
9780062446862,$1.00 
9780062442352,$0.50 
9781785986604,$1.00 
9781942021421,$0.50 
9781250115690,$1.00 
9781600584015,$0.50 
9781586106393,$0.75 
9781474889933,$0.85 
9781586109899,$0.75 
9781250047137,$0.50 
9781481411226,$0.50 
9780307931139,$1.00 
9781442464919,$1.00 
9781416596141,$0.50 
9780062203328,$0.50 
9781118130759,$1.00 
9781595450906,$1.00 
9781442447097,$1.00 
9781442453777,$1.00 
9780670061082,$1.00 
9780316210461,$1.00 
9781933027227,$0.50 
9781416906384,$1.00 
9781451687712,$0.50 
9780062203243,$0.50 
9781936096107,$0.50 
9781454704034,$1.00 
9780062236470,$0.50 
9781788430418,$1.00 
9781454707554,$1.00 
9781933027104,$1.00 
9780062364838,$0.50 
9780062326591,$0.50 
9780399176173,$0.50 
9780062346285,$1.00 
9781481424431,$1.00 
9781616203634,$0.50 
9781616207373,$1.00 
9781416964377,$1.00 
9781481464734,$1.00 
9781602558731,$0.50 
9780062471567,$0.35 
9781586101947,$1.00 
9780142410929,$1.00 
9781439147894,$0.50 
9780385388955,$1.00 
9780062339126,$1.00 
9780310349259,$0.65 
9780310350224,$0.65 
9781455539956,$0.50 
9781481486309,$1.00 
9781783930425,$1.00 
9781780653303,$1.00 
9780553507515,$0.50 
9780375832413,$1.00 
9780310293682,$0.50 
9780147511751,$1.00 
9781534401303,$0.85 
9781481478083,$0.85 
9781481443340,$1.00 
9781534416550,$1.00 
9781481460538,$0.85 
