ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780399246524,,"1,279",8.7296887,790,11.4581887,"63,788",8.7296887,"153,661",10.3276887,"252,250",11.5856887,"59,402",8.1346887,"80,296",10.9056887,"113,678",156.3066887,"112,060",-2.3203113,"7,177",15.0536887
9780399246524,,"1,279",8.73,790,11.46,"63,788",8.73,"153,661",10.33,"252,250",11.59,"59,402",8.13,"80,296",10.91,"113,678",156.31,"112,060",-2.32,"7,177",15.05
9780399246524,,"1,279",8.73,790,11.46,"63,788",8.73,"153,661",10.33,"252,250",11.59,"59,402",8.13,"80,296",10.91,"113,678",156.31,"112,060",-2.32,"7,177",15.05
9781603292627,,748,10.0762794,"2,267",14.4112794,"12,750",7.2712794,"30,839",11.9887794,"92,806",11.9887794,"16,701",11.7932794,"55,832",11.9887794,"25,576",230.6427794,"2,265",-2.0447206,523,13.3232794
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
1111344620,,"Invalid ISBN Provided"
B007T2OS2I,,"Invalid ISBN Provided"
27614107,,"Invalid ISBN Provided"
1504011465,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
B01N1YPGRD,,"Invalid ISBN Provided"
B074MBT89C,,"Invalid ISBN Provided"
871548844,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
B006Q2LTRO,,"Invalid ISBN Provided"
901802433,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
5010018071,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
3446124209,,"Invalid ISBN Provided"
863547125,,"Invalid ISBN Provided"
B072NDJS56,,"Invalid ISBN Provided"
70157790,,"Invalid ISBN Provided"
B012HUBKVS,,"Invalid ISBN Provided"
B0028QFAAO,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
412161605,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
9780152013721,,"6,652,229",-2.4384216,0,-1.8,"7,536,685",-2.4384216,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9780697790149,,"8,303,342",-2.3203113,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9780697790149,,"8,303,342",-2.32,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9780787302238,,"3,890,893",-2.1234608,-1,-2.1234608,"10,138,339",-2.1234608,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,-1,-2.1234608,0,-1.8
90129005505,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
70999001951,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
71896461763,,"Invalid ISBN Provided"
B005GMDQIA,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
520008219,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
9780545561631,,"1,948",11.4791764,"35,234",-3.2258236,"4,434",5.6906764,"247,739",9.2691764,"173,531",9.5581764,"166,747",-3.2258236,"146,190",-3.2258236,"31,608",-3.2258236,"107,834",-3.2258236,"117,835",-3.2258236
875091180,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
28947585312,,"Invalid ISBN Provided"
50086067275,,"Invalid ISBN Provided"
696998519626,,"45,706",-2.202201,"53,464",-2.202201,"377,415",-2.202201,"111,142",-2.202201,"412,802",-2.202201,0,-1.8,0,-1.8,0,-1.8,0,-1.8,"114,206",-2.202201
28947585312,,"Invalid ISBN Provided"
32429240026,,"Invalid ISBN Provided"
25192075292,,"Invalid ISBN Provided"
741952747291,,"115,026",10.2914485,-1,24.3674485,"426,562",-2.3990515,0,-1.8,0,-1.8,-1,-2.3990515,0,-1.8,0,-1.8,0,-1.8,0,-1.8
683904630896,,"19,783",-2.3990515,"37,184",-2.3990515,"221,435",-2.3990515,"380,749",-2.3990515,-1,-2.3990515,-1,-2.3990515,-1,-2.3990515,-1,-2.3990515,0,-1.8,"303,757",-2.3990515
25192157318,,"Invalid ISBN Provided"
883929318681,,"63,195",6.1796887,"231,402",-2.3203113,"272,008",-2.3203113,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,"374,156",-2.3203113
883929318681,,"63,195",6.18,"231,402",-2.32,"272,008",-2.32,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,"374,156",-2.32
786936793642,,"110,645",-2.5171618,"85,795",-2.5171618,"328,608",-2.5171618,-1,-2.5171618,"173,832",-2.5171618,-1,-2.5171618,-1,-2.5171618,-1,-2.5171618,0,-1.8,"517,235",-2.5171618
24543781448,,"Invalid ISBN Provided"
796019825542,,"44,747",-2.3990515,0,-1.8,"345,272",-2.3990515,-1,-2.3990515,"370,813",-2.3990515,"196,896",-2.3990515,"203,080",-2.3990515,"34,779",-2.3990515,-1,-2.3990515,"500,899",-2.3990515
794043129018,,"52,282",6.1796887,-1,-1.7691299,"190,917",-2.3203113,0,-1.8,"337,184",-2.3203113,-1,-2.3203113,-1,-2.3203113,"50,968",-2.3203113,"29,033",-2.3203113,"360,579",-2.3203113
687797157263,,"104,331",7.4949485,-1,-2.3990515,"223,411",-2.3990515,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
31398188865,,"Invalid ISBN Provided"
883929137411,,-1,-1.7691299,"21,646",14.6796887,"182,548",-2.3203113,-1,-2.3203113,"332,740",-2.3203113,-1,-2.3203113,-1,-2.3203113,"7,019",-2.3203113,-1,-2.3203113,"251,702",-2.3203113
786936725902,,"11,431",6.297799,"7,404",10.547799,"385,261",-2.202201,-1,-2.202201,0,-1.8,"259,707",-2.202201,-1,-2.202201,"3,531",-2.202201,0,-1.8,"382,029",-2.202201
