UPC,PriceNet_$,,UPC
0602557734775,10.44,,00602557734775
0889854560119,11,,00889854560119
0602567475828,10.44,,00602567475828
0075679273628,5.64,,00075679273628
0803020160811,12.5,,00803020160811
0889854124212,14.81,,00889854124212
0050087348168,8.25,,00050087348168
0050087310851,7.63,,00050087310851
0889854061227,9.35,,00889854061227
0822685784330,10.58,,00822685784330
0075678659737,13.26,,00075678659737
0602557176797,10.44,,00602557176797
0888751437319,15,,00888751437319
0602567550891,11.39,,00602567550891
0190758015521,13.05,,00190758015521
0888751842717,20.83,,00888751842717
0602537577439,8.14,,00602537577439
0190758132129,9.35,,00190758132129
0602567743569,9.69,,00602567743569
0854206001299,6.88,,00854206001299
0602557827743,11.39,,00602557827743
0603497858040,24.37,,00603497858040
0888837447928,9.35,,00888837447928
0093624905561,33.26,,00093624905561
0602498613436,5,,00602498613436
0602567491118,11.39,,00602567491118
0759707180620,11.23,,00759707180620
0889854491918,17.01,,00889854491918
0889854560126,9.35,,00889854560126
0724387383814,19.91,,00724387383814
0075678657238,15.32,,00075678657238
0602547306777,20.71,,00602547306777
0602567572015,76.3,,00602567572015
0888751411227,5.94,,00888751411227
0856115004637,19.14,,00856115004637
0074646577929,4.49,,00074646577929
0093624845027,5.64,,00093624845027
0888072004849,11.35,,00888072004849
0602567349006,11.39,,00602567349006
0810067010214,15.51,,00810067010214
4050538377293,10.63,,04050538377293
0602567473824,11.39,,00602567473824
0602577051401,9.71,,00602577051401
0603497858057,13.27,,00603497858057
0602547378781,13.8,,00602547378781
0044006814025,5,,00044006814025
0050087385996,10.44,,00050087385996
0602498784662,5,,00602498784662
0888072047617,10.73,,00888072047617
0190758769622,8.81,,00190758769622
0050087291082,3.5,,00050087291082
0720616246523,10.44,,00720616246523
0602567586258,5.16,,00602567586258
0888751759527,8.73,,00888751759527
0731451115622,2.7,,00731451115622
8809440338429,16.16,,08809440338429
0075678912153,8.25,,00075678912153
0603497861293,10.68,,00603497861293
0888430598515,11.95,,00888430598515
0190758589824,8.68,,00190758589824
0888072025950,11.86,,00888072025950
0810760033749,10.44,,00810760033749
0889466095924,10.45,,00889466095924
0600753783030,15.4,,00600753783030
0602547115713,8.25,,00602547115713
0080688962425,10.09,,00080688962425
0720642472712,18.44,,00720642472712
0602567714682,9.71,,00602567714682
0602557103366,13.19,,00602557103366
0050087311841,5,,00050087311841
0602567428428,11.39,,00602567428428
0093624906032,10.09,,00093624906032
0050087349134,10.44,,00050087349134
0602557663730,11.39,,00602557663730
0810067010191,11.22,,00810067010191
0602547945396,13.8,,00602547945396
0791558451825,13.37,,00791558451825
0602557427561,10.44,,00602557427561
0843930032679,8.25,,00843930032679
0602567075639,10.44,,00602567075639
0602567793489,7.15,,00602567793489
0016861742720,9.5,,00016861742720
0190295740511,10.6,,00190295740511
0602567400851,10.44,,00602567400851
0075678657931,13.26,,00075678657931
0190758675329,8.68,,00190758675329
0093624905226,10.09,,00093624905226
0075678166822,14.09,,00075678166822
0854206001541,6.88,,00854206001541
0602557013245,11.39,,00602557013245
0840588119707,10.08,,00840588119707
0050087392116,9.83,,00050087392116
0602537112180,10.44,,00602537112180
0601501312021,5,,00601501312021
0093624905929,10.09,,00093624905929
0888751894211,10,,00888751894211
0888072048058,9.98,,00888072048058
0720616126528,7.25,,00720616126528
0084418053520,6.37,,00084418053520
