UPC,PriceDiscounted
00064313339226,4.2
00064313414626,4.2
00064313417726,4.2
00064313435423,4.2
00064313444920,4.2
00064313448720,4.2
00064313501425,4.2
00064313551222,4.2
00064313581120,4.2
00064313581427,4.2
00064313586620,4.2
00073999830378,7.15
00075021038868,4.2
00075021311022,4.2
00075021319622,4.2
00075021334021,4.2
00075596051026,4.2
00075596052122,4.2
00075596059329,4.2
00075596077422,4.2
00075596226127,4.2
00075596243926,4.2
00075678123924,4.2
00075678260728,4.2
00075678373725,4.2
00075678657313,4.2
00075678660429,4.2
00075678662546,4.2
00075678827174,4.2
00075992510028,4.2
