ISBN,PriceDiscounted,,,,,
9780175660018,5.7,,,,,
9780175660025,5.7,,,,,
9780194529563,5.7,,,,,
9780446315005,3.42,,,,,
9780446576093,3.42,,,,,
9780446582797,3.42,,,,,
9780486280615,3.42,,,,,
9780486282114,3.42,,,,,
9780486289991,3.42,,,,,
9780486290492,3.42,,,,,
9780486292564,3.42,,,,,
9780486292731,3.42,,,,,
9780486292823,3.42,,,,,
9780486401645,3.42,,,,,
9780486406510,3.42,,,,,
9780486406633,3.42,,,,,
9780486408811,3.42,,,,,
9780486411217,3.42,,,,,
9780486415918,3.42,,,,,
9780486419237,3.42,,,,,
9780486424651,3.42,,,,,
9780486436203,3.42,,,,,
9780486436302,3.42,,,,,
9780486437002,3.42,,,,,
9780486437873,3.42,,,,,
9780486437910,3.42,,,,,
9780486440835,3.42,,,,,
9780486442877,3.42,,,,,
9780486447162,3.42,,,,,
9780486461434,3.42,,,,,
9780486461434,3.42,,,,,
9780486471396,3.42,,,,,
9780486474915,3.42,,,,,
9780486475899,3.42,,,,,
9780486496375,3.42,,,,,
9780486497396,3.42,,,,,
9780486499949,3.42,,,,,
9780486784663,3.42,,,,,
9780486791197,3.42,,,,,
9780486802480,3.42,,,,,
9780486811178,3.42,,,,,
9780486819266,3.42,,,,,
9780486821962,3.42,,,,,
9780486826615,3.42,,,,,
9780486826677,3.42,,,,,
9780486827650,3.42,,,,,
9780486827698,3.42,,,,,
9780486827759,3.42,,,,,
9780486828497,3.42,,,,,
9780486829319,3.42,,,,,
9780486831732,3.42,,,,,
9780486833019,3.42,,,,,
9780486834092,3.42,,,,,
9780553212693,3.42,,,,,
9780787980207,5.7,,,,,
9780802832634,3.42,,,,,
9780802853639,3.42,,,,,
9780802853745,3.42,,,,,
9780802854124,3.42,,,,,
9780802865526,3.42,,,,,
9780873480864,3.42,,,,,
9780873482417,3.42,,,,,
9780873484893,3.42,,,,,
9780873488136,3.42,,,,,
9780880794282,3.42,,,,,
9780880794299,3.42,,,,,
9780880794466,3.42,,,,,
9780880795098,3.42,,,,,
9780882643267,10.95,,,,,
9780911165210,10.95,,,,,
9780931888489,3.42,,,,,
9780931888700,3.42,,,,,
9780936442075,10.95,,,,,
9780940975170,3.42,,,,,
9780940975712,3.42,,,,,
9780940975743,3.42,,,,,
9780940975828,3.42,,,,,
9780944413302,10.95,,,,,
